timestamp,name,category,confidence,distance_m,risk,x1,y1,x2,y2
2026-02-21T13:06:08.791,person,human,0.925,2.49,danger,221,7,1276,710
2026-02-21T13:06:08.791,person,human,0.867,2.94,danger,0,115,232,711
2026-02-21T13:06:08.953,person,human,0.931,2.49,danger,229,7,1280,711
2026-02-21T13:06:08.953,person,human,0.875,2.95,danger,0,116,231,710
2026-02-21T13:06:09.117,person,human,0.930,2.49,danger,227,6,1280,710
2026-02-21T13:06:09.117,person,human,0.885,2.94,danger,0,114,230,710
2026-02-21T13:06:09.283,person,human,0.936,2.48,danger,226,6,1279,711
2026-02-21T13:06:09.283,person,human,0.861,2.93,danger,1,112,231,710
2026-02-21T13:06:09.452,person,human,0.936,2.48,danger,226,5,1280,711
2026-02-21T13:06:09.452,person,human,0.886,2.94,danger,1,114,231,710
2026-02-21T13:06:09.618,person,human,0.922,2.48,danger,211,5,1265,711
2026-02-21T13:06:09.618,person,human,0.876,2.95,danger,1,116,231,710
2026-02-21T13:06:09.783,person,human,0.930,2.49,danger,217,7,1254,710
2026-02-21T13:06:09.783,person,human,0.900,2.96,danger,1,120,231,711
2026-02-21T13:06:09.962,person,human,0.920,2.48,danger,226,6,1280,711
2026-02-21T13:06:09.963,person,human,0.886,2.96,danger,0,119,229,710
2026-02-21T13:06:10.126,person,human,0.934,2.49,danger,228,7,1280,711
2026-02-21T13:06:10.126,person,human,0.852,2.97,danger,0,121,229,711
2026-02-21T13:06:10.282,person,human,0.937,2.49,danger,220,8,1279,710
2026-02-21T13:06:10.283,person,human,0.837,2.97,danger,0,121,229,710
2026-02-21T13:06:10.454,person,human,0.925,2.48,danger,226,6,1279,711
2026-02-21T13:06:10.454,person,human,0.848,2.95,danger,0,117,230,710
2026-02-21T13:06:10.616,person,human,0.934,2.48,danger,222,4,1280,711
2026-02-21T13:06:10.616,person,human,0.866,2.96,danger,1,119,230,711
2026-02-21T13:06:10.784,person,human,0.939,2.48,danger,226,6,1280,711
2026-02-21T13:06:10.784,person,human,0.845,2.95,danger,1,117,230,710
2026-02-21T13:06:10.951,person,human,0.941,2.47,danger,223,2,1280,711
2026-02-21T13:06:10.951,person,human,0.884,2.95,danger,0,117,231,711
2026-02-21T13:06:11.115,person,human,0.936,2.47,danger,227,2,1280,711
2026-02-21T13:06:11.115,person,human,0.880,2.94,danger,0,115,230,711
2026-02-21T13:06:11.284,person,human,0.937,2.47,danger,225,3,1280,711
2026-02-21T13:06:11.284,person,human,0.886,2.96,danger,0,118,231,710
2026-02-21T13:06:11.452,person,human,0.942,2.48,danger,222,5,1280,711
2026-02-21T13:06:11.452,person,human,0.884,2.95,danger,0,117,230,710
2026-02-21T13:06:11.617,person,human,0.935,2.48,danger,222,5,1280,711
2026-02-21T13:06:11.617,person,human,0.866,2.96,danger,0,119,230,710
2026-02-21T13:06:11.784,person,human,0.933,2.47,danger,226,3,1280,711
2026-02-21T13:06:11.784,person,human,0.875,2.96,danger,0,119,232,710
2026-02-21T13:06:11.982,person,human,0.932,2.48,danger,224,5,1280,711
2026-02-21T13:06:11.982,person,human,0.872,2.96,danger,0,118,230,710
2026-02-21T13:06:12.158,person,human,0.931,2.46,danger,225,1,1280,711
2026-02-21T13:06:12.158,person,human,0.874,2.96,danger,0,118,230,710
2026-02-21T13:06:12.316,person,human,0.916,2.47,danger,231,4,1274,712
2026-02-21T13:06:12.316,person,human,0.864,2.96,danger,1,119,231,710
2026-02-21T13:06:12.494,person,human,0.897,2.47,danger,240,3,1275,711
2026-02-21T13:06:12.494,person,human,0.854,2.95,danger,1,117,232,711
2026-02-21T13:06:12.655,person,human,0.907,2.46,danger,234,2,1269,712
2026-02-21T13:06:12.655,person,human,0.868,2.96,danger,0,120,233,711
2026-02-21T13:06:12.823,person,human,0.902,2.47,danger,222,3,1269,711
2026-02-21T13:06:12.823,person,human,0.871,2.96,danger,0,119,232,711
2026-02-21T13:06:12.986,person,human,0.913,2.46,danger,212,2,1267,714
2026-02-21T13:06:12.986,person,human,0.880,2.96,danger,1,119,232,711
2026-02-21T13:06:13.148,person,human,0.906,2.45,danger,208,0,1264,713
2026-02-21T13:06:13.148,person,human,0.865,2.94,danger,0,116,229,711
2026-02-21T13:06:13.318,person,human,0.907,2.46,danger,214,2,1265,712
2026-02-21T13:06:13.318,person,human,0.873,2.97,danger,1,121,232,711
2026-02-21T13:06:13.482,person,human,0.911,2.47,danger,227,4,1266,713
2026-02-21T13:06:13.482,person,human,0.829,2.95,danger,0,117,231,711
2026-02-21T13:06:13.654,person,human,0.912,2.49,danger,207,5,1272,709
2026-02-21T13:06:13.654,person,human,0.837,2.95,danger,0,116,231,710
2026-02-21T13:06:13.813,person,human,0.894,2.47,danger,230,2,1280,711
2026-02-21T13:06:13.813,person,human,0.877,2.97,danger,1,121,230,711
2026-02-21T13:06:13.991,person,human,0.895,2.46,danger,230,1,1274,711
2026-02-21T13:06:13.991,person,human,0.882,2.96,danger,1,120,231,711
2026-02-21T13:06:14.147,person,human,0.900,2.47,danger,232,3,1257,711
2026-02-21T13:06:14.147,person,human,0.837,2.96,danger,0,120,231,711
2026-02-21T13:06:14.315,person,human,0.868,2.47,danger,208,2,1243,711
2026-02-21T13:06:14.315,person,human,0.880,2.96,danger,0,120,232,711
2026-02-21T13:06:14.482,person,human,0.881,2.49,danger,217,7,1233,710
